time, x, xd
4.962000, 3.552775, -3.394373
4.972000, 3.518387, -3.493173
4.982000, 3.483011, -3.591973
4.992000, 3.446646, -3.690773
5.002000, 3.409294, -3.789573
5.012000, 3.370954, -3.888373
5.022000, 3.331625, -3.987173
5.032000, 3.291309, -4.085973
5.042000, 3.250005, -4.184773
5.052000, 3.207712, -4.283573
5.062000, 3.164432, -4.382373
5.072000, 3.120164, -4.481173
5.082000, 3.074907, -4.579973
5.092000, 3.028663, -4.678773
5.102000, 2.981431, -4.777573
5.112000, 2.933210, -4.876373
5.122000, 2.884002, -4.975173
5.132000, 2.833806, -5.073973
5.142000, 2.782621, -5.172773
5.152000, 2.730449, -5.271573
5.162000, 2.677289, -5.370373
5.172000, 2.623140, -5.469173
5.182000, 2.568004, -5.567973
5.192000, 2.511880, -5.666773
5.202000, 2.454767, -5.765573
5.212000, 2.396667, -5.864373
5.222000, 2.337579, -5.963173
5.232000, 2.277502, -6.061973
5.242000, 2.216438, -6.160773
5.252000, 2.154386, -6.259573
5.262000, 2.091345, -6.358373
5.272000, 2.027317, -6.457173
5.282000, 1.962301, -6.555973
5.292000, 1.896296, -6.654773
5.302000, 1.829304, -6.753573
5.312000, 1.761324, -6.852373
5.322000, 1.692355, -6.951173
5.332000, 1.622399, -7.049973
5.342000, 1.551455, -7.148773
5.352000, 1.479522, -7.247573
5.362000, 1.406602, -7.346373
5.372000, 1.332694, -7.445173
5.382000, 1.257797, -7.543973
5.392000, 1.181913, -7.642773
5.402000, 1.105041, -7.741573
5.412000, 1.027180, -7.840373
5.422000, 0.948332, -7.939173
5.432000, 0.868496, -8.037973
5.442000, 0.787671, -8.136773
5.452000, 0.705859, -8.235573
5.462000, 0.623059, -8.334373
5.472000, 0.539270, -8.433173
5.482000, 0.454494, -8.531973
5.492000, 0.368730, -8.630773
5.502000, 0.281977, -8.729573
5.512000, 0.194237, -8.828373
5.522000, 0.105509, -8.927173
5.532000, 0.015792, -9.025973
5.542000, 0.059885, 7.157546
5.552000, 0.131016, 7.058746
5.562000, 0.201159, 6.959946
5.572000, 0.270314, 6.861146
5.582000, 0.338481, 6.762346
5.592000, 0.405660, 6.663546
5.602000, 0.471851, 6.564746
5.612000, 0.537053, 6.465946
5.622000, 0.601268, 6.367146
5.632000, 0.664495, 6.268346
5.642000, 0.726734, 6.169546
5.652000, 0.787985, 6.070746
5.662000, 0.848248, 5.971946
5.672000, 0.907523, 5.873146
5.682000, 0.965809, 5.774346
5.692000, 1.023108, 5.675546
5.702000, 1.079419, 5.576746
5.712000, 1.134742, 5.477946
5.722000, 1.189077, 5.379146
5.732000, 1.242424, 5.280346
5.742000, 1.294783, 5.181546
5.752000, 1.346154, 5.082746
5.762000, 1.396536, 4.983946
5.772000, 1.445931, 4.885146
5.782000, 1.494338, 4.786346
5.792000, 1.541757, 4.687546
5.802000, 1.588188, 4.588746
5.812000, 1.633631, 4.489946
5.822000, 1.678086, 4.391146
5.832000, 1.721552, 4.292346
5.842000, 1.764031, 4.193546
5.852000, 1.805522, 4.094746
5.862000, 1.846025, 3.995946
5.872000, 1.885540, 3.897146
5.882000, 1.924067, 3.798346
5.892000, 1.961606, 3.699546
5.902000, 1.998156, 3.600746
5.912000, 2.033719, 3.501946
5.922000, 2.068294, 3.403146
5.932000, 2.101881, 3.304346
5.942000, 2.134480, 3.205546
5.952000, 2.166091, 3.106746
5.962000, 2.196714, 3.007946
5.972000, 2.226348, 2.909146
5.982000, 2.254995, 2.810346
5.992000, 2.282654, 2.711546
6.002000, 2.309325, 2.612746
6.012000, 2.335008, 2.513946
6.022000, 2.359703, 2.415146
6.032000, 2.383410, 2.316346
6.042000, 2.406129, 2.217546
6.052000, 2.427859, 2.118746
6.062000, 2.448602, 2.019946
6.072000, 2.468357, 1.921146
6.082000, 2.487124, 1.822346
6.092000, 2.504903, 1.723546
6.102000, 2.521694, 1.624746
6.112000, 2.537497, 1.525946
6.122000, 2.552311, 1.427146
6.132000, 2.566138, 1.328346
6.142000, 2.578977, 1.229546
6.152000, 2.590828, 1.130746
6.162000, 2.601691, 1.031946
6.172000, 2.611566, 0.933146
6.182000, 2.620453, 0.834346
6.192000, 2.628351, 0.735546
6.202000, 2.635262, 0.636746
6.212000, 2.641185, 0.537946
6.222000, 2.646120, 0.439146
6.232000, 2.650067, 0.340346
6.242000, 2.653026, 0.241546
6.252000, 2.654997, 0.142746
6.262000, 2.655979, 0.043946
6.272000, 2.655974, -0.054854
6.282000, 2.654981, -0.153654
6.292000, 2.653000, -0.252454
6.302000, 2.650031, -0.351254
6.312000, 2.646074, -0.450054
6.322000, 2.641129, -0.548854
6.332000, 2.635196, -0.647654
6.342000, 2.628274, -0.746454
6.352000, 2.620365, -0.845254
6.362000, 2.611468, -0.944054
6.372000, 2.601583, -1.042854
6.382000, 2.590710, -1.141654
6.392000, 2.578849, -1.240454
6.402000, 2.566000, -1.339254
6.412000, 2.552162, -1.438054
6.422000, 2.537337, -1.536854
6.432000, 2.521524, -1.635654
6.442000, 2.504723, -1.734454
6.452000, 2.486934, -1.833254
6.462000, 2.468157, -1.932054
6.472000, 2.448392, -2.030854
6.482000, 2.427638, -2.129654
6.492000, 2.405897, -2.228454
6.502000, 2.383168, -2.327254
6.512000, 2.359451, -2.426054
6.522000, 2.334746, -2.524854
6.532000, 2.309053, -2.623654
6.542000, 2.282372, -2.722454
6.552000, 2.254702, -2.821254
